,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
948,58440.549618,r,15.207,0.031,positive,,
949,58440.528345,r,15.236,0.026,positive,,
954,58432.551111,r,15.481,0.027,positive,,
955,58432.55066,r,15.504,0.031,positive,,
956,58432.547419,r,15.493,0.028,positive,,
957,58432.524745,r,15.456,0.033,positive,,
962,58429.552616,r,15.599,0.031,positive,,
963,58429.552164,r,15.66,0.039,positive,,
966,58426.545174,r,15.793,0.039,positive,,
967,58426.530463,r,15.71,0.041,positive,,
968,58426.509688,r,15.799,0.048,positive,,
971,58423.534896,r,15.809,0.025,positive,,
972,58423.534433,r,15.772,0.03,positive,,
